2026-06-06 14:16:36.49 | 晚报 | RC=0 
2026-06-06 19:08:54.28 | 晚报 | RC=0 
2026-06-07 18:37:32.71 | 晚报 | RC=0 
2026-06-08 21:13:28.72 | 晚报 | RC=0 
2026-06-09 19:21:22.16 | 晚报 | RC=0 
2026-06-11 19:23:06.84 | 晚报 | RC=0 
2026-06-12 22:09:34.45 | 晚报 | RC=0 
2026-06-13 19:05:06.49 | 晚报 | RC=0 
2026-06-14 19:03:12.80 | 晚报 | RC=0 
2026-06-15 19:02:16.82 | 晚报 | RC=0 
2026-06-16 19:22:32.59 | 晚报 | RC=0 
2026-06-16 19:26:00.50 | 晚报 | RC=0 
2026-06-16 19:26:36.75 | 晚报 | RC=0 
2026-06-16 19:27:25.46 | 晚报 | RC=0 
2026-06-18  0:16:40.45 | 早报 | RC=0 
2026-06-18 19:02:12.86 | 晚报 | RC=0 
2026-06-19 19:10:02.22 | 晚报 | RC=0 
2026-06-20 19:04:26.05 | 晚报 | RC=0 
2026-06-21 18:36:09.74 | 晚报 | RC=0 
2026-06-22 18:04:14.95 | 晚报 | RC=0 
2026-06-23 18:02:12.09 | 晚报 | RC=0 
2026-06-24 20:50:14.01 | 晚报 | RC=0 
2026-06-25 18:03:26.99 | 晚报 | RC=0 
2026-06-26 18:04:19.31 | 晚报 | RC=0 
2026-06-27 18:04:36.04 | 晚报 | RC=0 
2026-06-28 18:00:16.63 | 晚报 | RC=0 
2026-06-29 18:00:26.95 | 晚报 | RC=0 
2026-06-30 19:11:04.28 | 晚报 | RC=0 
2026-07-01 18:00:21.07 | 晚报 | RC=0 
2026-07-02 18:00:36.76 | 晚报 | RC=0 
2026-07-03 19:55:57.67 | 晚报 | RC=0 
2026-07-03 19:56:38.16 | 晚报 | RC=0 
2026-07-04 18:00:14.12 | 晚报 | RC=0 
2026-07-04 18:17:23.29 | 晚报 | RC=-1073740791 
2026-07-05 18:00:12.82 | 晚报 | RC=0 
2026-07-06 18:00:21.31 | 晚报 | RC=0 
2026-07-07 18:00:29.71 | 晚报 | RC=0 
2026-07-08 18:00:21.46 | 晚报 | RC=0 
2026-07-09 18:00:17.73 | 晚报 | RC=0 
2026-07-10 18:00:15.77 | 晚报 | RC=0 
2026-07-11 18:00:14.61 | 晚报 | RC=0 
2026-07-12 18:00:12.55 | 晚报 | RC=0 
2026-07-13 18:00:17.53 | 晚报 | RC=0 
2026-07-14 18:00:16.67 | 晚报 | RC=0 
2026-07-15 18:00:16.99 | 晚报 | RC=0 
2026-07-16 18:00:18.31 | 晚报 | RC=0 
2026-07-17 18:00:17.31 | 晚报 | RC=0 
2026-07-18 18:00:13.58 | 晚报 | RC=0 
2026-07-19 18:00:16.38 | 晚报 | RC=0 
2026-07-20 18:19:50.55 | 晚报 | RC=0 
2026-07-21 21:13:02.70 | 晚报 | RC=0 
2026-07-22 18:00:19.10 | 晚报 | RC=0 
2026-07-23 18:00:27.83 | 晚报 | RC=0 
2026-07-24 18:00:36.66 | 晚报 | RC=0 
2026-07-25 18:32:34.35 | 晚报 | RC=0 
2026-07-26 18:00:12.82 | 晚报 | RC=0 
2026-07-27 18:03:02.82 | 晚报 | RC=1 
2026-07-27 21:04:32.39 | 晚报 | RC=0 
2026-07-28 18:00:16.36 | 晚报 | RC=0 
2026-07-29 18:00:26.23 | 晚报 | RC=0 
2026-07-30 18:00:17.08 | 晚报 | RC=0 
2026-07-31 22:16:41.61 | 晚报 | RC=0 
2026-08-01 18:00:13.78 | 晚报 | RC=0 
2026-08-01 21:28:57.48 | wechat_publish | md=output\精选日报_0801-建行线上全渠道有分.md | RC=0 
2026-08-01 21:30:04.97 | wechat_publish | md=output\精选日报_0801-建行线上全渠道有分.md | RC=0 
2026-08-01 22:07:35.29 | wechat_publish | md=output\精选日报_0801-与老农妇大战9个回合.md | RC=0 
2026-08-02 18:00:17.37 | 晚报 | RC=0 
2026-08-02 18:01:55.94 | wechat_publish | md=output\精选日报_0802-工行副卡激活史诗级升级.md | RC=0 
2026-08-03 18:00:31.37 | 晚报 | RC=0 
2026-08-03 20:38:27.91 | wechat_publish | step3 fail RC=2 
2026-08-03 20:56:39.50 | wechat_publish | md=output\精选日报_0803-中信升级大白金，购物场景.md | RC=0 
2026-08-03 21:14:42.94 | wechat_publish | md=output\精选日报_0803-2026年中期信用卡使用报告.md | RC=0 
2026-08-03 21:25:26.97 | wechat_publish | md=output\精选日报_0803-2026年中期信用卡使用.md | RC=0 
